Seller_Name,Retailer_Code,Retailer_Name,Latitude,Longitude,Visit Frequency,Service Time
Seller_1,431TCRCC03682,40224 - M/S Shankri Group of Wines,12.6996,77.7629,1,20
Seller_1,431TCRCC03688,40659 - S.N.Prashantha Kumar,12.7105,77.6979,1,20
Seller_1,431TCRBB03653,12564 - Sr.Govindaswamy,12.7428,77.7834,1,20
Seller_1,431TCRCC03695,40838 - M.Rajashekhar,12.7495,77.6445,1,20
Seller_1,431TCRBB03660,12792 - M.Krishnamurthy,12.7714,77.6273,2,20
Seller_1,431TCRAA03643,1194 - V Srinivas Jai Maruti Wines,12.7734,77.7821,1,20
Seller_1,431TCRCC03684,40362 - R.Thanigaimalai,12.7734,77.7822,1,20
Seller_1,431TCRAA03652,12550 - V.K.Chikkanna,12.7752,77.7803,1,20
Seller_1,431TCRCC03697,40947 - V.Veeranna,12.7753,77.7800,1,20
Seller_1,431TCRBB03676,40030 - K.G.Narasimhamurthy,12.7785,77.7706,1,20
Seller_1,431TCRBB03662,12867 - S.Gopal,12.7790,77.6431,8,20
Seller_1,431TCRAA03629,10301 - B.Yatheesh Kumar,12.7790,77.6433,1,20
Seller_1,431TCRBB03666,12892 - Managing DirectorMsil,12.7843,77.6401,2,20
Seller_1,431TCRCC03710,41457 - S.Prabhakar,12.7844,77.6401,8,20
Seller_1,431TCRCC03690,40745 - L.Ravindra,12.7924,77.7061,1,20
Seller_1,431TCRBB03675,40007 - K.V.Nagarathna,12.7959,77.6599,1,20
Seller_1,431TCRCC03699,41026 - Sri Raghavendra Wines,12.7974,77.8068,2,20
Seller_1,431TCRBB03661,12838 - R.Shyla,12.8009,77.6908,2,20
Seller_1,431TCRAA03644,1195 - A G Venugopal,12.8029,77.7038,2,20
Seller_1,431TCOPR01562,9810 - P.M.Raju,12.8061,77.7013,2,20
Seller_1,431TCOPR01530,40860 - Hon SecretaryS R S Nagar Club,12.8061,77.7013,1,20
Seller_1,431TCOPR01571,11183 - N Uday,12.8063,77.7011,8,20
Seller_1,431TCOPR01518,3208 - G.A.Chandrashekar,12.8063,77.7011,2,20
Seller_1,431TCOPR01505,12135 - Smt.Bhagyamma,12.8063,77.7011,1,20
Seller_1,431TCOPR01510,12608 - R.Srinivasan Managing Director,12.8063,77.7011,1,20
Seller_1,431TCOPR01516,12823 - N.Satish,12.8063,77.7011,1,20
Seller_1,431TCRCC03686,40490 - H.K.Sudharani,12.8090,77.6691,1,20
Seller_1,431TCRBB03677,40102 - H.N.Venkatappa,12.8103,77.6797,1,20
Seller_1,431TCRBB03657,12666 - Y.Tharakeshwara,12.8123,77.6691,1,20
Seller_1,431TCRAA03635,1112 - M Satyanarayana Kodandarama Wines,12.8201,77.6932,2,20
Seller_1,431TCOPR01526,3502 - N.Rama Reddy,12.8202,77.6681,1,20
Seller_1,431TCRCC03610,2353 - J.S.S Enterprises,12.8236,77.5851,2,20
Seller_1,431TCRCC03712,41515 - M.S.Jagannath,12.8249,77.6706,2,20
Seller_1,431TCRCC03681,40216 - K.M.Jayakumar,12.8253,77.6688,2,20
Seller_1,431TCRCC03715,733 - V.S.SrikanthSridevi Wines,12.8269,77.6742,2,20
Seller_1,431TCRBB03674,3484 - Sri. Jayaram Udaya Wines,12.8274,77.5594,1,20
Seller_1,431TCRBB03670,12981 - D.Veerappa,12.8275,77.6825,1,20
Seller_1,431TCRBB03665,12874 - T.Ramakrishna,12.8406,77.5977,2,20
Seller_1,431TCRKA61305,40506 - Lemon Tree,12.8407,77.6600,1,20
Seller_1,431TCOPR01568,10617 - H. E. Avinash,12.8410,77.6504,4,20
Seller_1,431TCOPR01567,10597 - T.H.Puttamma,12.8416,77.6440,8,20
